bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9.7816E+12,eng,304,167,4,11/1/05,Changeling Press
58,Changeling (Changeling  #1),Delia Sherman,3.6,670059676,9.78067E+12,eng,256,978,111,8/17/06,Viking Juvenile
59,The Changeling Sea,Patricia A. McKillip,4.06,141312629,9.78014E+12,eng,137,4454,302,4/14/03,Firebird
61,The Changeling,Zilpha Keatley Snyder,4.17,595321801,9.7806E+12,eng,228,1176,96,6/8/04,iUniverse
63,The Changeling,Kate Horsley,3.55,1590301943,9.78159E+12,eng,339,301,43,4/12/05,Shambhala
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,449146979,9.78045E+12,eng,369,345,12,8/28/90,Ivy Books
67,The Known World,Edward P. Jones,3.83,61159174,9.78006E+12,eng,388,29686,2626,8/29/06,Amistad
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,9.78006E+12,en-US,14,55,12,6/15/04,HarperAudio
69,The Known World,Edward P. Jones,3.83,60749911,9.78006E+12,eng,576,22,3,6/15/04,Harper
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,9.78027E+12,eng,334,1456,82,5/15/06,FT Press
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9.78193E+12,eng,352,52,4,12/14/05,Archaia
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,374517193,9.78037E+12,eng,416,562,37,6/1/82,Farrar  Straus and Giroux
75,Uncommon Carriers,John McPhee,3.95,374280398,9.78037E+12,en-US,248,1630,203,5/16/06,Farrar Straus Giroux
76,Heirs of General Practice,John McPhee,4.17,374519749,9.78037E+12,eng,128,268,22,4/1/86,Farrar  Straus and Giroux
77,The Control of Nature,John McPhee,4.24,374522596,9.78037E+12,en-US,288,3498,305,9/1/90,Farrar  Straus and Giroux
78,Annals of the Former World,John McPhee,4.34,374518734,9.78037E+12,eng,720,3115,228,1/6/99,Farrar  Straus and Giroux
79,Coming Into the Country,John McPhee,4.22,374522871,9.78037E+12,eng,448,5704,261,4/1/91,Farrar  Straus and Giroux
80,La Place de la Concorde Suisse,John McPhee,3.92,374519323,9.78037E+12,fre,160,698,52,4/1/94,Farrar  Straus and Giroux
81,Giving Good Weight,John McPhee,4.23,374516006,9.78037E+12,eng,288,542,36,4/1/94,Farrar  Straus and Giroux
83,Rising from the Plains,John McPhee,4.23,374520658,9.78037E+12,eng,208,1341,98,11/1/87,Farrar  Straus and Giroux
85,The Heidi Chronicles,Wendy Wasserstein,3.75,822205106,9.78082E+12,eng,81,1423,70,3/1/02,Dramatists Play Service
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,679734996,9.78068E+12,eng,249,2766,64,7/2/91,Vintage
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9.7816E+12,eng,138,31,1,3/29/06,Routledge
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9.78158E+12,en-US,128,62,4,3/14/06,North Light Books
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,800793617,9.7808E+12,eng,192,860,53,9/1/03,Chosen Books
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,871202867,9.78087E+12,en-US,108,77,2,1/28/97,Association for Supervision & Curriculum Development
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,753454947,9.78075E+12,eng,352,153317,2257,11/15/02,Kingfisher
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,871209993,9.78087E+12,eng,192,55,5,11/15/04,ASCD
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,9.78185E+12,eng,192,34,6,4/28/03,Sovereign World
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,761129588,9.78076E+12,eng,832,11797,659,10/16/03,Workman Publishing Company
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,972016414,9.78097E+12,eng,123,34,8,5/10/04,One Hour Entertainment
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9.78158E+12,en-US,128,78,4,8/19/04,North Light Books
